colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
0.5	0	0.01	6	3	600	0.5	0.49423076923076914	0.48292631144798326	0.476142876731112	0.47231302304870154	0.663971940128905
1.0	0	0.01	4	3	1000	0.5	0.491474358974359	0.47976234821823055	0.4762924493806847	0.47102378367774456	0.6543129158829557
1.0	0	0.01	8	3	600	0.5	0.4916025641025641	0.4791136946315975	0.4740117807029572	0.4686832743703141	0.6598751470777184
1.0	0	0.01	6	3	600	0.5	0.48910256410256403	0.47538093170446116	0.471104026692262	0.4666727023912184	0.6605923339930856
1.0	0	0.01	6	3	1000	0.5	0.4863461538461539	0.4729691450732304	0.4717732186114539	0.46562002573304745	0.6516045175455779
0.5	0	0.01	6	3	1000	0.5	0.4839102564102564	0.47633646310116895	0.4690375474199004	0.4651217069797006	0.6559817263329035
0.5	0	0.01	4	3	1000	0.5	0.4839743589743589	0.47490430049253574	0.46834310297545595	0.46379475069874304	0.6596014295378216
0.5	0	0.01	8	3	600	0.5	0.4839102564102563	0.47518174077384606	0.46711509895333425	0.46368251785515213	0.6610482258796309
0.5	0	0.01	8	3	1000	0.5	0.4839102564102564	0.4724552542973595	0.46718988527812055	0.46219046112467516	0.6545242085470236
1.0	0	0.01	4	3	600	0.5	0.48903846153846153	0.46935551989327734	0.4689892705333881	0.46153161234132234	0.6600824773433482
0.5	0	0.2	8	3	200	0.5	0.47628205128205126	0.4678200814107396	0.46666301019242196	0.45955488575954434	0.6381050877506732
1.0	0	0.01	8	3	1000	0.5	0.47615384615384615	0.4638374583331844	0.4608009963892317	0.4553133934623067	0.6504945046579584
0.5	0	0.2	4	3	200	0.5	0.4736538461538462	0.4628806670911934	0.45934006353124	0.45478755980464414	0.6372200155966332
0.5	0	0.2	6	3	200	0.5	0.4737179487179487	0.46219251966929986	0.4600631884455414	0.4544725867447796	0.6427189271084293
0.5	0	0.01	4	3	600	0.5	0.47628205128205126	0.46436898727920395	0.4578679898532839	0.45411775198359833	0.6657851426432821
0.5	0	0.01	8	3	200	0.5	0.4788461538461538	0.46688273439417605	0.4574017893870835	0.4525916650746698	0.6705710643298466
1.0	0	0.01	4	3	200	0.5	0.48121794871794876	0.462121271563323	0.45701163215869095	0.44946070344912725	0.6645727862711281
0.5	0	0.2	8	3	1000	0.5	0.47102564102564093	0.4538539073871891	0.45639363087892504	0.4478336153169346	0.6351968162463038
1.0	0	0.2	8	3	200	0.5	0.4658333333333333	0.4507024857953651	0.4514711595593949	0.4445712010507554	0.6383793517124732
1.0	0	0.01	6	3	200	0.5	0.47108974358974354	0.4504620706091294	0.4505502422414187	0.4433780180910234	0.6604159324596675
1.0	0	0.2	4	1	600	0.5	0.46083333333333326	0.44472798171327577	0.448604026692262	0.44289274102911713	0.6234223390797262
0.5	0	0.2	8	3	600	0.5	0.4607692307692308	0.44939719579812454	0.44637729100964396	0.44178568800639273	0.6309233904592985
0.5	0	0.01	8	1	1000	0.5	0.4633333333333334	0.449303435069689	0.4473367155720097	0.4416988241417165	0.6364936891543508
0.5	0	0.2	6	3	600	0.5	0.46320512820512816	0.45146095762968824	0.44812440010969423	0.44060338790169346	0.6355530904049037
0.5	0	0.01	6	3	200	0.5	0.468525641025641	0.4513363086189173	0.44616812925636457	0.4387960137835951	0.6706534721316424
0.5	0	0.01	4	1	1000	0.5	0.4607692307692308	0.4505633204770034	0.4433178504502034	0.4386511794195861	0.6461336383986248
0.5	0	0.2	8	1	200	0.5	0.4557051282051282	0.43935689854807497	0.4446319530143059	0.4380162549616853	0.6239696492852352
1.0	0	0.2	4	1	1000	0.5	0.45826923076923076	0.43811265259794663	0.4439295671648612	0.4365234696465404	0.6246303267120791
0.5	0	0.01	6	1	200	1.0	0.46339743589743587	0.44539098342890915	0.44201683120800767	0.4363141666484995	0.6231416506675748
0.5	0	0.2	4	3	600	0.5	0.45814102564102566	0.4409786800646943	0.43980917775035416	0.4348809625808556	0.6278280983918154
