colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
1.0	0	0.01	8	3	1000	0.5	0.5119230769230769	0.49660658570875293	0.49922122811828695	0.4911602212306737	0.6709821347072404
0.5	0	0.01	8	3	1000	0.5	0.5144871794871795	0.49613417651780817	0.4987859362859363	0.49073021829551167	0.6749363703732231
1.0	0	0.01	6	3	1000	0.5	0.5067948717948718	0.48953273062793184	0.49310120435120436	0.48415746094160533	0.6723754956854076
0.5	0	0.01	6	3	1000	0.5	0.5067948717948718	0.49074769821943054	0.4895074043603455	0.48177013371010846	0.6752885365208126
0.5	0	0.2	4	3	200	1.0	0.48871794871794877	0.48608590984751976	0.48060937428584494	0.4779563333061449	0.6375968351618375
1.0	0	0.01	4	3	1000	0.5	0.49653846153846154	0.4814578744841903	0.481565999360117	0.4753593778135826	0.6806394608872055
1.0	0	0.01	8	3	600	0.5	0.4991025641025641	0.48238499854094147	0.4832410644910645	0.4750073922091169	0.677744680730844
1.0	0	0.01	6	3	600	0.5	0.4991666666666667	0.48063048599695524	0.4820804195804196	0.47336529446081493	0.6781314470969295
0.5	0	0.2	4	3	600	1.0	0.4809615384615385	0.47478492740489636	0.47465349193290374	0.47027828501151364	0.6337686226986788
0.5	0	0.2	6	3	200	1.0	0.48358974358974366	0.4762684693760545	0.47427567530508713	0.4702540647083526	0.6402390865080825
0.5	0	0.2	6	3	200	0.5	0.4836538461538461	0.47554196777880986	0.4740568010420951	0.46978913973876324	0.6503520329455194
0.5	0	0.01	4	3	600	0.5	0.4966025641025641	0.478249352002549	0.4764966977466977	0.4690274966452338	0.686430680502991
0.5	0	0.01	8	3	600	0.5	0.49403846153846154	0.4769771190966844	0.4766058206499383	0.46876377298133365	0.6817025728861666
1.0	0	0.2	4	3	200	1.0	0.47846153846153844	0.4788615523909642	0.4706346268110974	0.4686207586482431	0.639754059106095
1.0	0	0.01	6	1	600	0.5	0.49647435897435893	0.4732553580463798	0.47847107957402074	0.4682189497425416	0.6640050830552328
1.0	0	0.01	8	3	200	0.5	0.4966666666666666	0.4730296019458423	0.47714160839160835	0.4673845927404504	0.6854845653235636
0.5	0	0.2	4	3	1000	1.0	0.47833333333333333	0.47065419058066116	0.47269270761917825	0.4668249166201246	0.6318543175861622
1.0	0	0.2	8	1	600	0.5	0.48128205128205126	0.46906345345973827	0.47118075551899075	0.4659060873848036	0.6387085228829213
1.0	0	0.2	4	3	200	0.5	0.4837179487179487	0.46835179554993794	0.4736030554412908	0.465571812163719	0.652063866485123
1.0	0	0.01	8	1	1000	0.5	0.48365384615384616	0.471845363099233	0.47015899949723483	0.46552134833255876	0.6544325729799876
0.5	0	0.2	4	1	600	0.5	0.481025641025641	0.46771939117527356	0.470886637871932	0.4651401424864631	0.6363139744236724
0.5	0	0.01	4	3	1000	0.5	0.4862179487179487	0.47782322541156164	0.467982883129942	0.46469917629995294	0.6811980356327895
0.5	0	0.01	6	3	600	0.5	0.4915384615384615	0.47271247271247263	0.4708809246309246	0.464698496353704	0.6804143997103985
1.0	0	0.01	4	3	600	0.5	0.4915384615384615	0.47307466285727157	0.4715130376159788	0.4645658556852754	0.6817495122818253
0.5	0	0.2	4	3	200	0.5	0.48121794871794876	0.46690722403957696	0.47066679235796877	0.46380929919398844	0.6578830401772334
0.5	0	0.01	8	1	1000	0.5	0.48115384615384615	0.47080889011229565	0.46807566616390145	0.4636139853555764	0.65636844372117
0.5	0	0.2	6	1	1000	1.0	0.4785897435897436	0.4673905669493905	0.46976535719182777	0.4627109209326711	0.628395468755109
0.5	0	0.01	8	3	1000	1.0	0.4810256410256411	0.46801634625551036	0.4677894899218429	0.46178074617123005	0.6472252537879952
0.5	0	0.2	8	3	200	0.5	0.48365384615384616	0.46532712213826766	0.46939153983271636	0.4617784220890099	0.658083743394786
1.0	0	0.01	6	3	200	0.5	0.4915384615384615	0.4654426265455677	0.4728303967274555	0.46127239681912807	0.6834975546293925
0.5	0	0.01	8	1	600	0.5	0.4837179487179487	0.4706132767587876	0.46580568124685773	0.4604797496442264	0.6635550484169792
1.0	0	0.2	8	1	200	0.5	0.47602564102564104	0.46172493556781485	0.46523378582202113	0.46021452368443894	0.6415214874745687
0.5	0	0.2	8	1	200	0.5	0.4786538461538462	0.4664983116298906	0.4672250217103159	0.4601739526176692	0.6486273463440216
1.0	0	0.2	6	1	200	0.5	0.47608974358974365	0.46576593713590614	0.46394219342748755	0.45992088421807387	0.6399264666200053
1.0	0	0.01	4	1	1000	0.5	0.48365384615384616	0.4670323915563854	0.4671883998354587	0.45983308154448466	0.6645385951571527
1.0	0	0.01	6	1	1000	0.5	0.47852564102564105	0.4662329881447528	0.46525012569130214	0.4592653929152298	0.6586465728202345
0.5	0	0.2	4	1	1000	0.5	0.4758974358974359	0.4611237856284296	0.4648334590246355	0.45898401998466715	0.635521929001802
0.5	0	0.01	6	1	1000	0.5	0.47846153846153844	0.46754478748892536	0.464139014580191	0.4589421092869682	0.6584776621421666
1.0	0	0.2	6	3	600	0.5	0.473525641025641	0.46347938825880003	0.4660896293249235	0.4584912190578172	0.6388302712759687
0.5	0	0.01	6	1	600	0.5	0.4837179487179487	0.4691596557037734	0.46503919283331047	0.4583947080950289	0.6672954110001301
0.5	0	0.2	6	1	600	1.0	0.4734615384615385	0.467445049503873	0.46465172082819145	0.4581444504168096	0.6303201026030599
1.0	0	0.01	8	1	600	0.5	0.48115384615384615	0.46078242048056284	0.46606711915535454	0.4576499525005381	0.6619336282788437
0.5	0	0.2	6	3	1000	1.0	0.47089743589743593	0.4622682818271053	0.464226655697244	0.4575534152428483	0.635827728559954
