colsample_bytree	gamma	learning_rate	max_depth	min_child_weight	n_estimators	subsample	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
0.5	0	0.01	4	3	600	0.5	0.493974358974359	0.48426903675187427	0.4748352301293478	0.4689901808741155	0.6460968465011786
0.5	0	0.01	6	3	1000	0.5	0.48121794871794876	0.4797920062393747	0.47117332830568126	0.46719858259318475	0.6415533632178609
0.5	0	0.01	6	3	600	0.5	0.48621794871794866	0.4765443379402189	0.46691062205768086	0.4611843102247728	0.6483386757383649
0.5	0	0.01	4	3	1000	0.5	0.48121794871794876	0.47350656481461434	0.4671230403583345	0.46075125154715624	0.6399865917164564
0.5	0	0.2	6	3	200	0.5	0.47339743589743594	0.4677312344804605	0.46308183646418943	0.46049486833916103	0.6323721157994171
0.5	0	0.01	8	3	1000	0.5	0.47852564102564105	0.46991792206188493	0.46519167923579696	0.4602425622587732	0.6428710445900108
0.5	0	0.01	4	3	200	0.5	0.4888461538461538	0.47766413505281446	0.46798465423465424	0.4596694946968677	0.6602072119666207
1.0	0	0.01	8	3	600	0.5	0.47602564102564104	0.46669637940468467	0.46210521504639157	0.45749279189823006	0.6426693207993716
1.0	0	0.01	6	3	600	0.5	0.4786538461538462	0.4634512225533897	0.4637807943690297	0.45680586287115216	0.6386554601313313
1.0	0	0.01	4	3	600	0.5	0.4786538461538462	0.4711242723714119	0.4633505301887655	0.45561926059241104	0.6411445374717765
1.0	0	0.01	8	3	1000	0.5	0.4735256410256411	0.46043367164884197	0.4633973216326158	0.45521437111323443	0.6342858902334039
0.5	0	0.2	8	1	1000	0.5	0.47333333333333333	0.46621886928001477	0.4578810731751909	0.45356823171775573	0.6217905952063693
1.0	0	0.2	4	3	200	0.5	0.46826923076923077	0.45404067337890874	0.45890060103295405	0.4527498064607564	0.6211760852239642
0.5	0	0.2	8	3	200	0.5	0.4683974358974359	0.4611550167239022	0.4562621692033457	0.45220931872937553	0.6313069320433031
0.5	0	0.01	6	3	200	1.0	0.47621794871794876	0.4647490986003572	0.4595770487682252	0.45216656670580135	0.6347262295334376
