max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
8	sqrt	10	8	600	0.49935897435897425	0.5052076317788392	0.49995252296722886	0.484238939668757	0.6862143457238029
8	sqrt	10	2	600	0.49935897435897425	0.5052076317788392	0.49995252296722886	0.484238939668757	0.6862143457238029
8	sqrt	10	10	600	0.49935897435897425	0.5052076317788392	0.49995252296722886	0.484238939668757	0.6862143457238029
8	sqrt	10	4	600	0.49935897435897425	0.5052076317788392	0.49995252296722886	0.484238939668757	0.6862143457238029
6	sqrt	10	2	600	0.5017948717948718	0.4996860400807769	0.5016850633027102	0.48407147197529043	0.6859200899985345
6	sqrt	10	4	600	0.5017948717948718	0.4996860400807769	0.5016850633027102	0.48407147197529043	0.6859200899985345
6	sqrt	10	8	600	0.5017948717948718	0.4996860400807769	0.5016850633027102	0.48407147197529043	0.6859200899985345
6	sqrt	10	10	600	0.5017948717948718	0.4996860400807769	0.5016850633027102	0.48407147197529043	0.6859200899985345
6	sqrt	10	8	200	0.5042307692307693	0.49664845746502095	0.5020118606883313	0.4831129110592288	0.6848540445492102
6	sqrt	10	10	200	0.5042307692307693	0.49664845746502095	0.5020118606883313	0.4831129110592288	0.6848540445492102
6	sqrt	10	2	200	0.5042307692307693	0.49664845746502095	0.5020118606883313	0.4831129110592288	0.6848540445492102
6	sqrt	10	4	200	0.5042307692307693	0.49664845746502095	0.5020118606883313	0.4831129110592288	0.6848540445492102
10	log2	8	10	1000	0.5017948717948718	0.48799586679230644	0.49851535719182777	0.48135076426064344	0.6834403267066667
10	log2	8	2	1000	0.5017948717948718	0.48799586679230644	0.49851535719182777	0.48135076426064344	0.6834403267066667
10	log2	8	4	1000	0.5017948717948718	0.48799586679230644	0.49851535719182777	0.48135076426064344	0.6834403267066667
10	log2	8	8	1000	0.5017948717948718	0.48799586679230644	0.49851535719182777	0.48135076426064344	0.6834403267066667
12	log2	8	10	1000	0.5017948717948718	0.48882064114649254	0.49851535719182777	0.48116591516472357	0.6824172118848357
12	log2	8	8	1000	0.5017948717948718	0.48882064114649254	0.49851535719182777	0.48116591516472357	0.6824172118848357
12	log2	8	4	1000	0.5017948717948718	0.48882064114649254	0.49851535719182777	0.48116591516472357	0.6824172118848357
12	log2	8	2	1000	0.5017948717948718	0.48882064114649254	0.49851535719182777	0.48116591516472357	0.6824172118848357
10	sqrt	10	2	200	0.49916666666666665	0.4965273095497554	0.4968566319301614	0.4806178486429052	0.6845197082793623
10	sqrt	10	8	200	0.49916666666666665	0.4965273095497554	0.4968566319301614	0.4806178486429052	0.6845197082793623
10	sqrt	10	4	200	0.49916666666666665	0.4965273095497554	0.4968566319301614	0.4806178486429052	0.6845197082793623
10	sqrt	10	10	200	0.49916666666666665	0.4965273095497554	0.4968566319301614	0.4806178486429052	0.6845197082793623
10	sqrt	10	2	600	0.4967948717948717	0.5013326276406771	0.497174745189451	0.48053687885094665	0.6860895844394084
10	sqrt	10	4	600	0.4967948717948717	0.5013326276406771	0.497174745189451	0.48053687885094665	0.6860895844394084
12	sqrt	10	2	600	0.4967948717948717	0.5013326276406771	0.497174745189451	0.48053687885094665	0.6867061332135159
12	sqrt	10	4	600	0.4967948717948717	0.5013326276406771	0.497174745189451	0.48053687885094665	0.6867061332135159
10	sqrt	10	8	600	0.4967948717948717	0.5013326276406771	0.497174745189451	0.48053687885094665	0.6860895844394084
12	sqrt	10	8	600	0.4967948717948717	0.5013326276406771	0.497174745189451	0.48053687885094665	0.6867061332135159
10	sqrt	10	10	600	0.4967948717948717	0.5013326276406771	0.497174745189451	0.48053687885094665	0.6860895844394084
12	sqrt	10	10	600	0.4967948717948717	0.5013326276406771	0.497174745189451	0.48053687885094665	0.6867061332135159
8	log2	8	10	600	0.49923076923076926	0.4880224115982631	0.4962126925362219	0.4798111237327601	0.6773931039805522
8	log2	8	2	600	0.49923076923076926	0.4880224115982631	0.4962126925362219	0.4798111237327601	0.6773931039805522
8	log2	8	4	600	0.49923076923076926	0.4880224115982631	0.4962126925362219	0.4798111237327601	0.6773931039805522
8	log2	8	8	600	0.49923076923076926	0.4880224115982631	0.4962126925362219	0.4798111237327601	0.6773931039805522
6	sqrt	4	2	600	0.5017307692307692	0.49049806674806684	0.4993729717994423	0.4795334482402989	0.6767923456565326
6	sqrt	4	8	600	0.5017307692307692	0.49049806674806684	0.4993729717994423	0.4795334482402989	0.6767923456565326
6	sqrt	4	4	600	0.5017307692307692	0.49049806674806684	0.4993729717994423	0.4795334482402989	0.6767923456565326
12	sqrt	10	10	200	0.4966025641025641	0.4949322379546838	0.4948958476164359	0.4786819080110705	0.6852193369462007
12	sqrt	10	8	200	0.4966025641025641	0.4949322379546838	0.4948958476164359	0.4786819080110705	0.6852193369462007
12	sqrt	10	2	200	0.4966025641025641	0.4949322379546838	0.4948958476164359	0.4786819080110705	0.6852193369462007
12	sqrt	10	4	200	0.4966025641025641	0.4949322379546838	0.4948958476164359	0.4786819080110705	0.6852193369462007
8	sqrt	10	10	200	0.49916666666666665	0.49019808322052905	0.49775406782759724	0.47855608151573514	0.685669304671457
8	sqrt	10	2	200	0.49916666666666665	0.49019808322052905	0.49775406782759724	0.47855608151573514	0.685669304671457
8	sqrt	10	4	200	0.49916666666666665	0.49019808322052905	0.49775406782759724	0.47855608151573514	0.685669304671457
8	sqrt	10	8	200	0.49916666666666665	0.49019808322052905	0.49775406782759724	0.47855608151573514	0.685669304671457
6	sqrt	8	8	600	0.49416666666666664	0.49384477608161825	0.49448809360574064	0.4784470693691489	0.6857078342533212
6	sqrt	8	4	600	0.49416666666666664	0.49384477608161825	0.49448809360574064	0.4784470693691489	0.6857078342533212
6	sqrt	8	2	600	0.49416666666666664	0.49384477608161825	0.49448809360574064	0.4784470693691489	0.6857078342533212
6	sqrt	8	10	600	0.49416666666666664	0.49384477608161825	0.49448809360574064	0.4784470693691489	0.6857078342533212
6	sqrt	8	10	1000	0.4967307692307692	0.4940564162932584	0.4958769824946295	0.478274147944281	0.6861822890347693
6	sqrt	8	2	1000	0.4967307692307692	0.4940564162932584	0.4958769824946295	0.478274147944281	0.6861822890347693
6	sqrt	8	8	1000	0.4967307692307692	0.4940564162932584	0.4958769824946295	0.478274147944281	0.6861822890347693
6	sqrt	8	4	1000	0.4967307692307692	0.4940564162932584	0.4958769824946295	0.478274147944281	0.6861822890347693
10	log2	8	10	600	0.4966666666666667	0.4856756951338995	0.49519887791946615	0.4778872713582941	0.6786916185532978
10	log2	8	8	600	0.4966666666666667	0.4856756951338995	0.49519887791946615	0.4778872713582941	0.6786916185532978
10	log2	8	4	600	0.4966666666666667	0.4856756951338995	0.49519887791946615	0.4778872713582941	0.6786916185532978
10	log2	8	2	600	0.4966666666666667	0.4856756951338995	0.49519887791946615	0.4778872713582941	0.6786916185532978
12	log2	8	4	600	0.4966666666666667	0.4856756951338995	0.49519887791946615	0.4778872713582941	0.6786019442735957
12	log2	8	2	600	0.4966666666666667	0.4856756951338995	0.49519887791946615	0.4778872713582941	0.6786019442735957
12	log2	8	10	600	0.4966666666666667	0.4856756951338995	0.49519887791946615	0.4778872713582941	0.6786019442735957
12	log2	8	8	600	0.4966666666666667	0.4856756951338995	0.49519887791946615	0.4778872713582941	0.6786019442735957
12	sqrt	4	4	600	0.4967307692307692	0.49098594817635066	0.4933915512591983	0.4776385276969606	0.6794317851900816
12	sqrt	4	8	600	0.4967307692307692	0.49098594817635066	0.4933915512591983	0.4776385276969606	0.6794317851900816
12	sqrt	4	2	600	0.4967307692307692	0.49098594817635066	0.4933915512591983	0.4776385276969606	0.6794317851900816
12	log2	10	8	1000	0.5017948717948718	0.4864362294625453	0.49935663193016133	0.4775334332817547	0.6859733673564286
12	log2	10	4	1000	0.5017948717948718	0.4864362294625453	0.49935663193016133	0.4775334332817547	0.6859733673564286
12	log2	10	2	1000	0.5017948717948718	0.4864362294625453	0.49935663193016133	0.4775334332817547	0.6859733673564286
12	log2	10	10	1000	0.5017948717948718	0.4864362294625453	0.49935663193016133	0.4775334332817547	0.6859733673564286
6	sqrt	4	2	200	0.49916666666666665	0.49489224269023024	0.4959485122720417	0.4766505949662925	0.6773127135535486
6	sqrt	4	8	200	0.49916666666666665	0.49489224269023024	0.4959485122720417	0.4766505949662925	0.6773127135535486
6	sqrt	4	4	200	0.49916666666666665	0.49489224269023024	0.4959485122720417	0.4766505949662925	0.6773127135535486
6	sqrt	4	2	1000	0.4966666666666666	0.4925759742207111	0.49463440970793904	0.47659443022050646	0.6779042765533155
6	sqrt	4	4	1000	0.4966666666666666	0.4925759742207111	0.49463440970793904	0.47659443022050646	0.6779042765533155
6	sqrt	4	8	1000	0.4966666666666666	0.4925759742207111	0.49463440970793904	0.47659443022050646	0.6779042765533155
8	sqrt	8	4	1000	0.49423076923076914	0.49418001388589633	0.49461064262534854	0.4765682886076997	0.6879959460061924
8	sqrt	8	2	1000	0.49423076923076914	0.49418001388589633	0.49461064262534854	0.4765682886076997	0.6879959460061924
8	sqrt	8	10	1000	0.49423076923076914	0.49418001388589633	0.49461064262534854	0.4765682886076997	0.6879959460061924
8	sqrt	8	8	1000	0.49423076923076914	0.49418001388589633	0.49461064262534854	0.4765682886076997	0.6879959460061924
12	sqrt	8	10	1000	0.49423076923076914	0.49491261461849706	0.49461064262534854	0.47652065869522886	0.6870138096387218
12	sqrt	8	8	1000	0.49423076923076914	0.49491261461849706	0.49461064262534854	0.47652065869522886	0.6870138096387218
12	sqrt	8	4	1000	0.49423076923076914	0.49491261461849706	0.49461064262534854	0.47652065869522886	0.6870138096387218
12	sqrt	8	2	1000	0.49423076923076914	0.49491261461849706	0.49461064262534854	0.47652065869522886	0.6870138096387218
8	log2	10	2	200	0.49410256410256403	0.4804921736616783	0.4941518693724576	0.4758198765897599	0.6889153646271364
8	log2	10	10	200	0.49410256410256403	0.4804921736616783	0.4941518693724576	0.4758198765897599	0.6889153646271364
8	log2	10	4	200	0.49410256410256403	0.4804921736616783	0.4941518693724576	0.4758198765897599	0.6889153646271364
8	log2	10	8	200	0.49410256410256403	0.4804921736616783	0.4941518693724576	0.4758198765897599	0.6889153646271364
12	sqrt	2	10	200	0.4966666666666667	0.4792144455418449	0.49227895470542526	0.47541684296096054	0.6718073141584624
12	sqrt	10	10	1000	0.4916666666666666	0.4941026354106849	0.49231363407833995	0.47496200568930663	0.6849081835077214
12	sqrt	10	8	1000	0.4916666666666666	0.4941026354106849	0.49231363407833995	0.47496200568930663	0.6849081835077214
12	sqrt	10	4	1000	0.4916666666666666	0.4941026354106849	0.49231363407833995	0.47496200568930663	0.6849081835077214
12	sqrt	10	2	1000	0.4916666666666666	0.4941026354106849	0.49231363407833995	0.47496200568930663	0.6849081835077214
10	sqrt	10	10	1000	0.4916666666666666	0.4941026354106849	0.49231363407833995	0.47496200568930663	0.6849292812333352
10	sqrt	10	4	1000	0.4916666666666666	0.4941026354106849	0.49231363407833995	0.47496200568930663	0.6849292812333352
10	sqrt	10	8	1000	0.4916666666666666	0.4941026354106849	0.49231363407833995	0.47496200568930663	0.6849292812333352
10	sqrt	10	2	1000	0.4916666666666666	0.4941026354106849	0.49231363407833995	0.47496200568930663	0.6849292812333352
10	sqrt	4	10	1000	0.4916666666666666	0.49196432709590604	0.48999137300607887	0.4749475499523331	0.6781961716838415
10	log2	10	2	1000	0.49923076923076926	0.4842404622667781	0.49739584761643585	0.4748939699971301	0.6868036960781255
10	log2	10	8	1000	0.49923076923076926	0.4842404622667781	0.49739584761643585	0.4748939699971301	0.6868036960781255
10	log2	10	10	1000	0.49923076923076926	0.4842404622667781	0.49739584761643585	0.4748939699971301	0.6868036960781255
10	log2	10	4	1000	0.49923076923076926	0.4842404622667781	0.49739584761643585	0.4748939699971301	0.6868036960781255
6	log2	10	2	200	0.48903846153846153	0.4792416624769566	0.4918717148864208	0.4746073223933057	0.6892430896975985
6	log2	10	10	200	0.48903846153846153	0.4792416624769566	0.4918717148864208	0.4746073223933057	0.6892430896975985
6	log2	10	8	200	0.48903846153846153	0.4792416624769566	0.4918717148864208	0.4746073223933057	0.6892430896975985
6	log2	10	4	200	0.48903846153846153	0.4792416624769566	0.4918717148864208	0.4746073223933057	0.6892430896975985
8	sqrt	10	2	1000	0.4916666666666666	0.4935986949067444	0.49231363407833995	0.4744579851413522	0.6856864004246478
8	sqrt	10	4	1000	0.4916666666666666	0.4935986949067444	0.49231363407833995	0.4744579851413522	0.6856864004246478
8	sqrt	10	8	1000	0.4916666666666666	0.4935986949067444	0.49231363407833995	0.4744579851413522	0.6856864004246478
8	sqrt	10	10	1000	0.4916666666666666	0.4935986949067444	0.49231363407833995	0.4744579851413522	0.6856864004246478
8	log2	8	2	1000	0.4966666666666667	0.4836761560020074	0.49317347684994745	0.47440635623600924	0.6808894155247373
8	log2	8	4	1000	0.4966666666666667	0.4836761560020074	0.49317347684994745	0.47440635623600924	0.6808894155247373
8	log2	8	8	1000	0.4966666666666667	0.4836761560020074	0.49317347684994745	0.47440635623600924	0.6808894155247373
8	log2	8	10	1000	0.4966666666666667	0.4836761560020074	0.49317347684994745	0.47440635623600924	0.6808894155247373
10	log2	10	4	200	0.4916025641025641	0.4791717049147389	0.49326060377530967	0.4737399196713338	0.6917838601394071
10	log2	10	10	200	0.4916025641025641	0.4791717049147389	0.49326060377530967	0.4737399196713338	0.6917838601394071
10	log2	10	8	200	0.4916025641025641	0.4791717049147389	0.49326060377530967	0.4737399196713338	0.6917838601394071
10	log2	10	2	200	0.4916025641025641	0.4791717049147389	0.49326060377530967	0.4737399196713338	0.6917838601394071
6	sqrt	10	10	1000	0.4916666666666666	0.49083010556694767	0.49183286484757066	0.4735472781655853	0.6852849552285383
6	sqrt	10	8	1000	0.4916666666666666	0.49083010556694767	0.49183286484757066	0.4735472781655853	0.6852849552285383
6	sqrt	10	4	1000	0.4916666666666666	0.49083010556694767	0.49183286484757066	0.4735472781655853	0.6852849552285383
6	sqrt	10	2	1000	0.4916666666666666	0.49083010556694767	0.49183286484757066	0.4735472781655853	0.6852849552285383
10	sqrt	8	8	1000	0.4916666666666666	0.4918110593110593	0.49127730929201513	0.47350481654701754	0.6855720901059035
10	sqrt	8	2	1000	0.4916666666666666	0.4918110593110593	0.49127730929201513	0.47350481654701754	0.6855720901059035
10	sqrt	8	4	1000	0.4916666666666666	0.4918110593110593	0.49127730929201513	0.47350481654701754	0.6855720901059035
10	sqrt	8	10	1000	0.4916666666666666	0.4918110593110593	0.49127730929201513	0.47350481654701754	0.6855720901059035
10	sqrt	2	4	200	0.4939102564102564	0.4764328851403155	0.4876310046162987	0.47274624096529666	0.6683259053744662
10	sqrt	2	2	200	0.4939102564102564	0.4764328851403155	0.4876310046162987	0.47274624096529666	0.6683259053744662
6	log2	4	8	600	0.49416666666666664	0.4799292427272304	0.4905677818913112	0.47273094147437333	0.6698227090107866
6	log2	4	4	600	0.49416666666666664	0.4799292427272304	0.4905677818913112	0.47273094147437333	0.6698227090107866
6	log2	4	2	600	0.49416666666666664	0.4799292427272304	0.4905677818913112	0.47273094147437333	0.6698227090107866
6	log2	10	10	1000	0.4966666666666667	0.48232015905777514	0.4948317450523333	0.4725481972914503	0.6842428732160705
6	log2	10	8	1000	0.4966666666666667	0.48232015905777514	0.4948317450523333	0.4725481972914503	0.6842428732160705
6	log2	10	4	1000	0.4966666666666667	0.48232015905777514	0.4948317450523333	0.4725481972914503	0.6842428732160705
6	log2	10	2	1000	0.4966666666666667	0.48232015905777514	0.4948317450523333	0.4725481972914503	0.6842428732160705
