mlp__activation	mlp__alpha	mlp__early_stopping	mlp__hidden_layer_sizes	mlp__learning_rate	mlp__max_iter	mlp__solver	mean_valid_accuracy	mean_valid_precision_macro	mean_valid_recall_macro	mean_valid_f1_macro	mean_valid_auc_ovr_macro
logistic	0.01	True	(100,)	adaptive	1000	adam	0.4824390243902439	0.47178825073561914	0.4691873485991134	0.46493183729019016	0.6307688266574631
logistic	0.01	True	(100,)	adaptive	500	adam	0.4824390243902439	0.47178825073561914	0.4691873485991134	0.46493183729019016	0.6307688266574631
logistic	0.01	True	(100,)	constant	500	adam	0.4824390243902439	0.47178825073561914	0.4691873485991134	0.46493183729019016	0.6307688266574631
logistic	0.01	True	(100,)	invscaling	500	adam	0.4824390243902439	0.47178825073561914	0.4691873485991134	0.46493183729019016	0.6307688266574631
logistic	0.01	True	(100,)	invscaling	1000	adam	0.4824390243902439	0.47178825073561914	0.4691873485991134	0.46493183729019016	0.6307688266574631
logistic	0.01	True	(100,)	constant	1000	adam	0.4824390243902439	0.47178825073561914	0.4691873485991134	0.46493183729019016	0.6307688266574631
logistic	0.001	True	(100,)	adaptive	500	adam	0.48	0.47162147765088946	0.46627959458841806	0.461318520557486	0.6295530164117011
logistic	0.001	True	(100,)	adaptive	1000	adam	0.48	0.47162147765088946	0.46627959458841806	0.461318520557486	0.6295530164117011
logistic	0.001	True	(100,)	invscaling	1000	adam	0.48	0.47162147765088946	0.46627959458841806	0.461318520557486	0.6295530164117011
logistic	0.001	True	(100,)	invscaling	500	adam	0.48	0.47162147765088946	0.46627959458841806	0.461318520557486	0.6295530164117011
logistic	0.001	True	(100,)	constant	500	adam	0.48	0.47162147765088946	0.46627959458841806	0.461318520557486	0.6295530164117011
logistic	0.001	True	(100,)	constant	1000	adam	0.48	0.47162147765088946	0.46627959458841806	0.461318520557486	0.6295530164117011
logistic	0.001	True	(100,)	adaptive	1000	sgd	0.47073170731707326	0.47999306807743347	0.46266225604460887	0.4579576452834074	0.6038900879120247
logistic	0.01	True	(100,)	adaptive	1000	sgd	0.47073170731707326	0.47999306807743347	0.46266225604460887	0.4579576452834074	0.6040885006104373
logistic	0.001	True	(100,)	adaptive	500	sgd	0.47073170731707326	0.47999306807743347	0.46266225604460887	0.4579576452834074	0.6038900879120247
logistic	0.01	True	(100,)	adaptive	500	sgd	0.47073170731707326	0.47999306807743347	0.46266225604460887	0.4579576452834074	0.6040885006104373
logistic	0.1	True	(100,)	adaptive	500	sgd	0.4682317073170732	0.47083760365881105	0.45919003382238677	0.4539160570342455	0.6033362917853118
logistic	0.1	True	(100,)	adaptive	1000	sgd	0.4682317073170732	0.47083760365881105	0.45919003382238677	0.4539160570342455	0.6033362917853118
logistic	0.001	True	(100,)	constant	500	sgd	0.4682317073170732	0.4623155276096453	0.45525161113396406	0.44828716443916566	0.5976199093358115
logistic	0.01	True	(100,)	constant	500	sgd	0.4682317073170732	0.4623155276096453	0.45525161113396406	0.44828716443916566	0.5977191156850179
logistic	0.01	True	(100,)	constant	1000	sgd	0.4682317073170732	0.4623155276096453	0.45525161113396406	0.44828716443916566	0.5977191156850179
logistic	0.001	True	(100,)	constant	1000	sgd	0.4682317073170732	0.4623155276096453	0.45525161113396406	0.44828716443916566	0.5976199093358115
logistic	0.1	True	(100,)	constant	1000	sgd	0.46573170731707325	0.45949262066909125	0.4524738333561863	0.4457965472459378	0.5977357560662415
logistic	0.1	True	(100,)	constant	500	sgd	0.46573170731707325	0.45949262066909125	0.4524738333561863	0.4457965472459378	0.5977357560662415
logistic	0.01	True	(100,)	constant	500	lbfgs	0.45804878048780495	0.4529789802560701	0.4479395196306961	0.44241598772036267	0.62466225185254
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.45804878048780495	0.4529789802560701	0.4479395196306961	0.44241598772036267	0.62466225185254
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.45804878048780495	0.4529789802560701	0.4479395196306961	0.44241598772036267	0.62466225185254
relu	0.1	True	(50,)	constant	500	lbfgs	0.45304878048780484	0.4477426910321647	0.44477181315416614	0.4417725439346444	0.6141016678864023
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.45304878048780484	0.4477426910321647	0.44477181315416614	0.4417725439346444	0.6141016678864023
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.45304878048780484	0.4477426910321647	0.44477181315416614	0.4417725439346444	0.6141016678864023
logistic	0.1	True	(100,)	constant	1000	lbfgs	0.46079268292682923	0.4466242273378496	0.4510086726998491	0.43908865044241213	0.6156152788312352
logistic	0.1	True	(100,)	invscaling	1000	lbfgs	0.46079268292682923	0.4466242273378496	0.4510086726998491	0.43908865044241213	0.6156152788312352
logistic	0.1	True	(100,)	adaptive	1000	lbfgs	0.46079268292682923	0.4466242273378496	0.4510086726998491	0.43908865044241213	0.6156152788312352
logistic	0.1	True	(100,)	constant	1000	adam	0.4552439024390244	0.4479737924900463	0.44276903651903654	0.43900406209787024	0.6316993822217543
logistic	0.1	True	(100,)	constant	500	adam	0.4552439024390244	0.4479737924900463	0.44276903651903654	0.43900406209787024	0.6316993822217543
logistic	0.1	True	(100,)	invscaling	1000	adam	0.4552439024390244	0.4479737924900463	0.44276903651903654	0.43900406209787024	0.6316993822217543
logistic	0.1	True	(100,)	invscaling	500	adam	0.4552439024390244	0.4479737924900463	0.44276903651903654	0.43900406209787024	0.6316993822217543
logistic	0.1	True	(100,)	adaptive	500	adam	0.4552439024390244	0.4479737924900463	0.44276903651903654	0.43900406209787024	0.6316993822217543
logistic	0.1	True	(100,)	adaptive	1000	adam	0.4552439024390244	0.4479737924900463	0.44276903651903654	0.43900406209787024	0.6316993822217543
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.4532926829268292	0.4496938347481825	0.44499405822935234	0.438126432267404	0.6002423885304022
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.4532926829268292	0.4496938347481825	0.44499405822935234	0.438126432267404	0.6002423885304022
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.4532926829268292	0.4496938347481825	0.44499405822935234	0.438126432267404	0.6002423885304022
identity	0.001	True	(100, 100)	invscaling	1000	sgd	0.4456707317073171	0.44651958879900056	0.4443130399012752	0.4373278217454345	0.5938026618773331
identity	0.001	True	(100, 100)	invscaling	500	sgd	0.4456707317073171	0.44651958879900056	0.4443130399012752	0.4373278217454345	0.5938026618773331
identity	0.01	True	(100, 100)	invscaling	1000	sgd	0.4456707317073171	0.44651958879900056	0.4443130399012752	0.4373278217454345	0.5938026618773331
identity	0.1	True	(100, 100)	invscaling	1000	sgd	0.4456707317073171	0.44651958879900056	0.4443130399012752	0.4373278217454345	0.5938026618773331
identity	0.1	True	(100, 100)	invscaling	500	sgd	0.4456707317073171	0.44651958879900056	0.4443130399012752	0.4373278217454345	0.5938026618773331
identity	0.01	True	(100, 100)	invscaling	500	sgd	0.4456707317073171	0.44651958879900056	0.4443130399012752	0.4373278217454345	0.5938026618773331
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.45560975609756105	0.4456716840987941	0.4409745075186252	0.4371268321283095	0.6265337033626258
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.45560975609756105	0.4456716840987941	0.4409745075186252	0.4371268321283095	0.6265337033626258
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.45560975609756105	0.4456716840987941	0.4409745075186252	0.4371268321283095	0.6265337033626258
tanh	0.001	True	(50,)	adaptive	1000	lbfgs	0.4555487804878049	0.4453735477342288	0.44242681338269574	0.43525578806212095	0.6079403086435415
tanh	0.001	True	(50,)	invscaling	1000	lbfgs	0.4555487804878049	0.4453735477342288	0.44242681338269574	0.43525578806212095	0.6079403086435415
tanh	0.001	True	(50,)	constant	1000	lbfgs	0.4555487804878049	0.4453735477342288	0.44242681338269574	0.43525578806212095	0.6079403086435415
logistic	0.01	True	(100, 100)	invscaling	500	lbfgs	0.4509756097560976	0.442780747305919	0.43826957356369123	0.4350272608680667	0.6377136046725654
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.4509756097560976	0.442780747305919	0.43826957356369123	0.4350272608680667	0.6377136046725654
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.4509756097560976	0.442780747305919	0.43826957356369123	0.4350272608680667	0.6377136046725654
relu	0.01	True	(100,)	adaptive	500	lbfgs	0.44810975609756093	0.44911698323463023	0.4365735979706568	0.4331971692877549	0.6039508491711618
